date,value
2/18/2010,6.050751509
2/19/2010,6.084301571
2/20/2010,6.087174449
2/21/2010,6.077885001
2/22/2010,6.062486969
2/23/2010,6.052631963
2/24/2010,6.046674051
2/25/2010,6.051177993
2/26/2010,6.076693712
2/27/2010,6.038587477
2/28/2010,6.078792198
3/1/2010,6.068311906
3/2/2010,6.047925735
3/3/2010,6.052584301
3/4/2010,6.062517936
3/5/2010,6.094251209
3/6/2010,6.09308862
3/7/2010,6.08069239
3/8/2010,6.068987619
3/9/2010,6.057477381
3/10/2010,6.054983488
3/11/2010,6.058773278
3/12/2010,6.088799918
3/13/2010,6.082708926
3/14/2010,6.065369572
3/15/2010,6.061643158
3/16/2010,6.060452647
3/17/2010,6.075193824
3/18/2010,6.061402252
3/19/2010,6.093537956
3/20/2010,6.078321184
3/21/2010,6.057917234
3/22/2010,6.05554919
3/23/2010,6.054617471
3/24/2010,6.059028792
3/25/2010,6.063674019
3/26/2010,6.09317819
3/27/2010,6.051829006
3/28/2010,6.074800042
3/29/2010,6.05018986
3/30/2010,6.057358419
3/31/2010,6.059729807
4/1/2010,6.068546619
4/2/2010,6.103816731
4/3/2010,6.104972083
4/4/2010,6.125892383
4/5/2010,6.067607794
4/6/2010,6.058869407
4/7/2010,6.05944903
4/8/2010,6.06667263
4/9/2010,6.09840935
4/10/2010,6.081897212
4/11/2010,6.076758234
4/12/2010,6.066970196
4/13/2010,6.065073217
4/14/2010,6.063405006
4/15/2010,6.060648666
4/16/2010,6.088223431
4/17/2010,6.083813889
4/18/2010,6.064313132
4/19/2010,6.057395631
4/20/2010,6.062303347
4/21/2010,6.069449856
4/22/2010,6.071021916
4/23/2010,6.089008295
4/24/2010,6.084678761
4/25/2010,6.06967896
4/26/2010,6.055253051
4/27/2010,6.054323818
4/28/2010,6.056924673
4/29/2010,6.057321712
4/30/2010,6.092682481
5/1/2010,6.077303921
5/2/2010,6.059441969
5/3/2010,6.05171325
5/4/2010,6.044743041
5/5/2010,6.061571124
5/6/2010,6.050076481
5/7/2010,6.089509513
5/8/2010,6.103281073
5/9/2010,6.171345517
5/10/2010,6.045882741
5/11/2010,6.047966113
5/12/2010,6.059513157
5/13/2010,6.061415474
5/14/2010,6.0824077
5/15/2010,6.08379715
5/16/2010,6.072853034
5/17/2010,6.052416674
5/18/2010,6.053773922
5/19/2010,6.062750484
5/20/2010,6.069115794
5/21/2010,6.093844098
